car_name,length,width,height
Acura RSX , 437.4 cm or 172.2 inches , 172.5 cm or 67.91 inches , 140 cm or 55.12 inches 
Acura RSX Type-S, 437.4 cm or 172.2 inches , 172.5 cm or 67.91 inches , 140 cm or 55.12 inches 
Acura RSX Auto, 437.4 cm or 172.2 inches , 172.5 cm or 67.91 inches , 140 cm or 55.12 inches 
Acura RSX , 438 cm or 172.44 inches , 172.5 cm or 67.91 inches , 139.4 cm or 54.88 inches 
Acura RSX Type-S, 437.4 cm or 172.2 inches , 172.5 cm or 67.91 inches , 140 cm or 55.12 inches 
Acura RSX Auto, 437.4 cm or 172.2 inches , 172.5 cm or 67.91 inches , 140 cm or 55.12 inches 
Acura RSX , 437.4 cm or 172.2 inches , 172.5 cm or 67.91 inches , 140 cm or 55.12 inches 
Acura NSX-T (NA2) 3.2 V6 6-speed, 442.5 cm or 174.21 inches , 181 cm or 71.26 inches , 117 cm or 46.06 inches 
Acura NSX-T (NA2) 3.0 V6 Auto, 442.5 cm or 174.21 inches , 181 cm or 71.26 inches , 117 cm or 46.06 inches 
Acura TSX 2.4i, 465.9 cm or 183.43 inches , 176.2 cm or 69.37 inches , 145.6 cm or 57.32 inches 
Acura TSX 2.4i Auto, 465.9 cm or 183.43 inches , 176.2 cm or 69.37 inches , 145.6 cm or 57.32 inches 
Acura TSX 2.4i Auto, 465.7 cm or 183.35 inches , 176.2 cm or 69.37 inches , 145.6 cm or 57.32 inches 
Acura TSX 2.4i, 465.7 cm or 183.35 inches , 176.2 cm or 69.37 inches , 145.6 cm or 57.32 inches 
Acura TSX 2.4i, 465.7 cm or 183.35 inches , 176.2 cm or 69.37 inches , 145.6 cm or 57.32 inches 
Acura TSX 2.4i Auto, 465.7 cm or 183.35 inches , 176.2 cm or 69.37 inches , 145.6 cm or 57.32 inches 
Acura TL III 3.5 Type-S Auto, 480.9 cm or 189.33 inches , 191.6 cm or 75.43 inches , 144.1 cm or 56.73 inches 
Acura TL III 3.5 Type-S 6-speed, 480.9 cm or 189.33 inches , 191.6 cm or 75.43 inches , 144.1 cm or 56.73 inches 
Acura TL III 3.2 Auto, 480.9 cm or 189.33 inches , 191.6 cm or 75.43 inches , 144.1 cm or 56.73 inches 
Acura TL III 3.5 Type-S 6-speed, 480.9 cm or 189.33 inches , 191.6 cm or 75.43 inches , 144.1 cm or 56.73 inches 
Acura TL III 3.5 Type-S Auto, 480.9 cm or 189.33 inches , 191.6 cm or 75.43 inches , 144.1 cm or 56.73 inches 
Acura TL III 3.2 Auto, 480.9 cm or 189.33 inches , 191.6 cm or 75.43 inches , 144.1 cm or 56.73 inches 
Acura TL III 3.2 6-speed, 480.9 cm or 189.33 inches , 183.5 cm or 72.24 inches , 144.1 cm or 56.73 inches 
Acura TL III 3.2 Auto, 480.9 cm or 189.33 inches , 183.5 cm or 72.24 inches , 144.1 cm or 56.73 inches 
Acura TL III 3.2 6-speed, 480.9 cm or 189.33 inches , 183.5 cm or 72.24 inches , 144.1 cm or 56.73 inches 
Acura TL III 3.2 Auto, 480.9 cm or 189.33 inches , 183.5 cm or 72.24 inches , 144.1 cm or 56.73 inches 
Acura RL (KB) 3.7 V6, 497.3 cm or 195.79 inches , 184.7 cm or 72.72 inches , 145.5 cm or 57.28 inches 
Acura RL (KB) 3.7 V6, 497.3 cm or 195.79 inches , 184.7 cm or 72.72 inches , 145.5 cm or 57.28 inches 
Acura RL (KB) 3.5 V6, 491.7 cm or 193.58 inches , 184.7 cm or 72.72 inches , 145.2 cm or 57.17 inches 
Acura RL (KB) 3.5 V6, 491.7 cm or 193.58 inches , 184.7 cm or 72.72 inches , 145.2 cm or 57.17 inches 
Acura RL (KB) 3.5 V6, 491.7 cm or 193.58 inches , 184.7 cm or 72.72 inches , 145.2 cm or 57.17 inches 
Acura CSX 2.0i Type-S, 454.4 cm or 178.9 inches , 175.2 cm or 68.98 inches , 143.5 cm or 56.5 inches 
Acura CSX 2.0i Auto, 454.4 cm or 178.9 inches , 175.2 cm or 68.98 inches , 143.5 cm or 56.5 inches 
